0.000000000000000000e+00 9.059906005859375000e-04 1.328251342773437500e+02 1.328242340087890625e+02
1.000000000000000021e-02 5.024457350373268127e-03 1.328688659667968750e+02 1.328638458251953125e+02
2.000000000000000042e-02 1.435279846191406250e-02 1.328607788085937500e+02 1.328464202880859375e+02
2.999999999999999889e-02 4.634857177734375000e-03 1.328332214355468750e+02 1.328285827636718750e+02
4.000000000000000083e-02 1.697540283203125000e-03 1.328775177001953125e+02 1.328758239746093750e+02
5.000000000000000278e-02 9.910287335515022278e-03 1.328255767822265625e+02 1.328156738281250000e+02
5.999999999999999778e-02 1.258850097656250000e-03 1.327704315185546875e+02 1.327691650390625000e+02
7.000000000000000666e-02 2.241134643554687500e-03 1.328120574951171875e+02 1.328098144531250000e+02
8.000000000000000167e-02 5.559921264648437500e-03 1.328254699707031250e+02 1.328199157714843750e+02
8.999999999999999667e-02 1.955032348632812500e-02 1.328246459960937500e+02 1.328050994873046875e+02
1.000000000000000056e-01 3.709793090820312500e-03 1.328328094482421875e+02 1.328291015625000000e+02
1.100000000000000006e-01 2.937316894531250000e-03 1.328937377929687500e+02 1.328908081054687500e+02
1.199999999999999956e-01 2.317428588867187500e-03 1.327824707031250000e+02 1.327801513671875000e+02
1.300000000000000044e-01 1.115798950195312500e-03 1.328973999023437500e+02 1.328962860107421875e+02
1.400000000000000133e-01 8.821487426757812500e-03 1.328212890625000000e+02 1.328124694824218750e+02
1.499999999999999944e-01 2.802019007503986359e-03 1.328857879638671875e+02 1.328829803466796875e+02
1.600000000000000033e-01 6.155893206596374512e-03 1.328323669433593750e+02 1.328262176513671875e+02
1.700000000000000122e-01 9.689331054687500000e-03 1.328495483398437500e+02 1.328398590087890625e+02
1.799999999999999933e-01 3.194808959960937500e-03 1.328312072753906250e+02 1.328280181884765625e+02
1.900000000000000022e-01 2.820617752149701118e-03 1.328293762207031250e+02 1.328265533447265625e+02
2.000000000000000111e-01 6.227493286132812500e-03 1.328088684082031250e+02 1.328026428222656250e+02
2.099999999999999922e-01 8.892687037587165833e-04 1.328348693847656250e+02 1.328339843750000000e+02
